City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Fortuna,US,40.5982,-124.1573,53.85,73,90,5.01,moderate rain
80,College,US,64.8569,-147.8028,37.06,64,75,4.61,broken clouds
81,Saskylakh,RU,71.9167,114.0833,16.47,97,97,0.83,overcast clouds
82,Bredy,RU,52.4153,60.3411,46.58,58,100,3.09,overcast clouds
83,Itoman,JP,26.1247,127.6694,80.98,52,40,18.41,scattered clouds
84,Hobart,AU,-42.8794,147.3294,65.01,55,75,4.0,broken clouds
85,Ponta Do Sol,PT,32.6667,-17.1,76.71,56,93,2.19,overcast clouds
86,Warwick,US,41.7001,-71.4162,58.89,75,20,4.61,few clouds
87,Charters Towers,AU,-20.1,146.2667,97.74,17,1,12.46,clear sky
88,Bluff,NZ,-46.6,168.3333,50.85,58,23,5.66,few clouds
89,Hithadhoo,MV,-0.6,73.0833,83.03,73,75,11.59,broken clouds
90,Lata,PT,40.1629,-8.3327,63.81,85,89,2.33,overcast clouds
91,Jamestown,US,42.097,-79.2353,58.71,83,1,4.0,clear sky
92,Bambous Virieux,MU,-20.3428,57.7575,78.22,88,40,3.44,light rain
93,Polunochnoye,RU,60.8697,60.4153,30.74,80,62,5.19,broken clouds
94,Shimoda,JP,34.6667,138.95,71.1,55,76,11.5,broken clouds
95,Ribeira Grande,PT,38.5167,-28.7,69.48,68,49,8.39,scattered clouds
96,Keti Bandar,PK,24.1447,67.4497,82.08,54,0,9.4,clear sky
97,Sitka,US,57.0531,-135.33,51.69,50,90,17.27,overcast clouds
98,Saint-Augustin,CA,51.226,-58.6502,43.36,94,100,11.5,overcast clouds
99,Geraldton,AU,-28.7667,114.6,70.21,56,90,19.57,overcast clouds
100,Maningrida,AU,-12.0667,134.2667,93.04,40,88,10.67,overcast clouds
101,Gragnano,IT,40.6956,14.5123,58.89,61,42,2.17,scattered clouds
102,Ilulissat,GL,69.2167,-51.1,30.22,55,100,9.22,overcast clouds
103,Tessalit,ML,20.1986,1.0114,70.48,25,1,8.9,clear sky
104,Borodino,RU,55.9106,94.8983,42.26,59,27,4.7,scattered clouds
105,Atuona,PF,-9.8,-139.0333,78.15,75,13,17.38,few clouds
106,Faanui,PF,-16.4833,-151.75,80.74,75,65,12.48,broken clouds
107,Bougouni,ML,11.417,-7.479,73.31,85,100,3.18,overcast clouds
108,Qui Nhon,VN,13.7667,109.2333,83.05,80,32,7.67,scattered clouds
109,Katsuura,JP,35.1333,140.3,71.71,42,81,14.9,broken clouds
110,Nioki,CD,-2.7167,17.6833,70.65,99,100,3.47,light rain
111,Accrington,GB,53.7538,-2.3586,56.46,94,100,5.01,overcast clouds
112,Clyde River,CA,70.4692,-68.5914,28.63,81,93,3.4,overcast clouds
113,Hosanagara,IN,13.9167,75.0667,77.23,72,100,1.88,overcast clouds
